coordinates,timestamps
"[[354804.4938618238, 7401050.157790957], [349514.1344360255, 7397162.779598037], [354709.9849504472, 7401040.584463846], [349471.85575795727, 7397395.488994937], [354053.6342929077, 7400920.892908013], [349979.8338440609, 7397844.04828079], [353763.99741142336, 7400923.988967265], [350084.4933428102, 7398022.170805661], [353420.80162860797, 7400827.485968839], [350064.32084666914, 7398434.318138293], [350120.8517333161, 7398538.469221547], [353405.9062873077, 7400758.123623578], [350331.0477796517, 7398605.457397109]]","[0, 21, 44, 66, 176, 199, 220, 243, 309, 329, 351, 353, 378]"
"[[329184.3693954261, 7393315.569717882], [329272.6612663473, 7393375.356235476], [329877.978225845, 7393764.9842115585], [329918.7703281643, 7393795.417700861], [330201.3878200061, 7393917.983580282], [330303.85256899503, 7393996.562193137]]","[0, 78, 215, 258, 301, 370]"
"[[332543.3246240916, 7394905.3751383405], [332543.3246240916, 7394905.3751383405], [332543.3246240916, 7394905.3751383405], [319073.51705162606, 7385562.048850608], [332613.2367464628, 7394921.403471778], [332672.1218638427, 7395008.851804105]]","[0, 45, 181, 242, 287, 332]"
"[[329018.3179591346, 7393191.494028723], [329081.50426300627, 7393244.841358436], [329763.65002827125, 7393679.674339907], [329832.9504885282, 7393727.856039781], [330000.3434677585, 7393844.101165775], [330177.91425296996, 7393903.977542618]]","[0, 45, 196, 241, 334, 379]"
"[[319073.51705162606, 7385562.048850608], [319088.26184175344, 7385553.9247117], [319488.7668049936, 7385680.340071192], [319643.42360479006, 7385783.324285276], [319728.2936504148, 7385874.893872296], [319776.6368473888, 7385939.124041684]]","[0, 45, 208, 253, 330, 338]"
"[[332449.74277847784, 7394883.2609499935], [332465.9392875237, 7394886.602836238], [332482.99090982706, 7394891.062022993], [332482.99090982706, 7394891.062022993], [332520.2054578798, 7394900.237446874], [332543.3246240916, 7394905.3751383405]]","[0, 45, 225, 225, 315, 360]"
"[[321301.7019098294, 7388042.380420648], [321569.194988222, 7388239.982373222], [322077.7767992841, 7388739.017492611], [322093.22850889125, 7388760.914739532], [322307.03445448645, 7389042.05176918], [322331.5497694344, 7389084.577232164]]","[0, 64, 210, 225, 289, 334]"
"[[319885.4874421022, 7386084.652865186], [319943.2452947558, 7386159.2994622085], [320322.35988225264, 7386474.716547671], [320548.4612621876, 7386499.5421431195], [320621.014779157, 7386852.73744124], [320726.71056694543, 7387117.121533399]]","[0, 45, 180, 225, 315, 360]"
"[[329763.65002827125, 7393679.674339907], [329763.65002827125, 7393679.674339907], [330231.78430683253, 7393938.106036831], [330529.9262969784, 7394203.884423977], [330783.9029066092, 7394379.475911709], [331215.63569104415, 7394638.047326674]]","[0, 7, 173, 235, 277, 347]"
"[[330500.1813006762, 7394178.121743186], [330808.05952348287, 7394394.125606952], [331509.19642384164, 7394784.551812673], [331660.66163444915, 7394838.501391199], [331972.4576842682, 7394927.074020553], [332013.18583095295, 7394932.580851564]]","[0, 45, 180, 225, 315, 360]"
"[[320914.6971534748, 7387462.511772505], [321219.9197937878, 7387823.95610068], [321569.194988222, 7388239.982373222], [321649.55859512684, 7388266.107278317], [321831.2412867532, 7388382.686169747], [321961.9100342281, 7388541.809004196]]","[0, 72, 206, 251, 320, 365]"
"[[320914.6971534748, 7387462.511772505], [321223.2675721577, 7387842.272580411], [321569.194988222, 7388239.982373222], [321649.55859512684, 7388266.107278317], [321831.2412867532, 7388382.686169747], [322077.7767992841, 7388739.017492611]]","[0, 66, 208, 253, 323, 366]"
"[[332204.39475178695, 7394897.838186068], [332543.3246240916, 7394905.3751383405], [332543.3246240916, 7394905.3751383405], [332543.3246240916, 7394905.3751383405], [332597.9647067739, 7394917.573939767], [332597.9647067739, 7394917.573939767]]","[0, 259, 394, 439, 506, 551]"
"[[333926.34146589146, 7380649.580893816], [333885.0298682859, 7380533.426343471], [333835.17928845086, 7380490.659532707], [333805.88464355445, 7380456.655513775], [333805.88464355445, 7380456.655513775], [333805.88464355445, 7380456.655513775]]","[0, 44, 177, 221, 309, 353]"
"[[332968.0867991759, 7379274.551874029], [332942.58817532024, 7379285.611249278], [332911.060782467, 7379317.589352418], [332758.0473809036, 7379396.791754665], [332429.0514420899, 7379184.783452371], [332373.02443544316, 7378970.808979044]]","[0, 44, 177, 221, 310, 354]"
"[[332042.0112732987, 7386530.900785907], [332223.89404845564, 7386072.2978879195], [332012.7419637711, 7385617.115684111], [332205.17129793105, 7385446.001283208], [332280.8261262821, 7385396.783328762], [332501.9330107821, 7385296.850504777]]","[0, 74, 221, 266, 309, 383]"
"[[332249.93711366714, 7387439.984043732], [331920.1888291665, 7387308.225594036], [331988.53700960276, 7386666.097438516], [332116.6224779877, 7386342.397596192], [332253.66238395975, 7385996.067601954], [332201.283024835, 7385926.727852028]]","[0, 44, 178, 222, 311, 355]"
"[[332570.2713640134, 7384588.780040205], [332598.8800083967, 7384103.644366505], [332652.15198969375, 7383956.039310908], [332701.99592869554, 7383851.422841881], [332929.3877877891, 7383360.345314076], [332949.6025974154, 7383345.791509111]]","[0, 80, 220, 264, 330, 356]"
"[[332813.79499559116, 7391115.448840117], [332813.79499559116, 7391115.448840117], [332915.8983867456, 7390957.104272561], [332934.28746629076, 7390926.774323658], [332718.2954486278, 7390738.077721948], [332524.1943100011, 7390605.877490546]]","[0, 45, 178, 222, 310, 354]"
"[[328979.02912017005, 7400151.307032451], [328866.33504895715, 7400352.977669081], [328728.58181267406, 7400587.858286193], [328688.7587885115, 7400763.769683115], [328715.9588052527, 7400973.52371562], [328868.24061473185, 7401141.985675214]]","[0, 45, 178, 222, 266, 310]"
